row	col	size	circularity
30	6	383	0.9299
30	7	0	NA
30	8	0	NA
30	9	345	0.8863
30	10	363	0.9714
30	11	315	0.9938
30	12	318	0.851
30	13	324	0.8381
30	14	297	0.9442
30	15	246	0.892
30	16	281	0.9908
30	17	340	0.8945
30	18	375	0.8757
30	19	289	0.9993
30	20	293	0.9672
30	21	176	0.8166
30	22	177	1.0231
30	23	293	0.9859
30	24	318	1.0032
30	25	106	0.9323
30	26	99	0.9397
30	27	254	0.8013
30	28	262	1.018
30	29	220	0.8375
30	30	226	0.9638
30	31	230	0.8755
30	32	272	0.9405
30	33	125	0.7974
30	34	129	0.9278
30	35	0	NA
30	36	0	NA
30	37	353	0.9446
30	38	325	0.8697
30	39	341	0.9682
30	40	334	0.9653
30	41	363	0.816
30	42	341	0.8821
30	43	296	0.8554
30	44	289	0.8788
30	45	361	0.8624
30	46	448	0.9267
30	47	0	NA
30	48	0	NA
31	1	483	0.8736
31	2	437	0.9177
31	3	408	0.9378
31	4	386	0.9309
31	5	0	NA
31	6	0	NA
31	7	423	0.8696
31	8	356	0.8369
31	9	297	0.8085
31	10	313	0.8733
31	11	331	0.9076
31	12	371	0.9309
31	13	0	NA
31	14	0	NA
31	15	345	0.997
31	16	311	0.8766
31	17	245	0.9519
31	18	210	1.0296
31	19	234	0.9363
31	20	201	0.9326
31	21	262	0.9692
31	22	285	0.9232
31	23	347	0.9852
31	24	296	0.8773
31	25	49	1.0271
31	26	38	0.9957
31	27	300	0.9903
31	28	301	0.8763
31	29	285	0.9855
31	30	267	0.9491
31	31	327	0.8071
31	32	381	0.8302
31	33	0	NA
31	34	0	NA
31	35	397	0.9639
31	36	416	0.8736
31	37	0	NA
31	38	0	NA
31	39	387	0.9397
31	40	348	0.845
31	41	0	NA
31	42	0	NA
31	43	386	0.8411
31	44	383	0.9362
31	45	0	NA
31	46	0	NA
31	47	512	0.9206
31	48	620	0.7112
32	1	526	0.792
32	2	451	0.7748
32	3	433	0.9013
32	4	395	0.8741
32	5	0	NA
32	6	0	NA
32	7	450	0.8616
32	8	382	0.9065
32	9	373	0.9516
32	10	299	0.849
32	11	353	0.9679
32	12	421	0.9613
32	13	0	NA
32	14	0	NA
32	15	466	0.8795
32	16	404	0.8803
32	17	346	0.8741
32	18	330	0.937
32	19	364	0.9909
32	20	362	0.9457
32	21	369	0.8349
32	22	377	0.9685
32	23	430	0.8895
32	24	466	0.9299
32	25	125	0.7974
32	26	130	0.9732
32	27	460	0.8991
32	28	433	0.9733
32	29	414	0.9221
32	30	374	0.8407
32	31	449	0.9288
32	32	494	0.859
32	33	0	NA
32	34	0	NA
32	35	570	0.8429
32	36	535	0.8598
32	37	0	NA
32	38	0	NA
32	39	497	0.8741
32	40	457	0.8803
32	41	0	NA
32	42	0	NA
32	43	458	0.8644
32	44	487	0.7202
32	45	0	NA
32	46	0	NA
32	47	573	0.7586
32	48	581	0.7813
